contents,sentiment,sentiment_label
"['single', 'trip', 'hilang', 'aplikasi', 'bom', 'kalo', 'topup', 'udab', 'menit', 'gak', 'masuk', 'saldo', 'nya', 'nya', 'putus', 'beli', 'kartu', '40ribu', 'tinggal', 'kereta', 'org', 'cerdas', 'pilih', 'vendor', 'aplikasi', 'bayar', 'susah', 'guna']",-0.07142857142857142,negative
"['susah', 'banget', 'dapetin', 'tiket', 'long', 'weekend', 'udah', 'buka', 'aplikasi', 'jam', 'loading', 'banget', 'trs', 'buka', 'muncul', 'ups', 'jadwal', 'temu', 'coba', 'kali', 'muncul', 'jam', 'habiiissss', 'siihh']",-0.05,negative
"['sedih', 'banget', 'kewcewa', 'udah', 'top', 'bayar', 'tiket', 'pas', 'bayar', 'nunggu', 'muncul', 'notif', 'failed', 'blablabla', 'saldo', 'udah', 'potong', 'status', 'bayar', 'tiket', 'tunggu', 'bayar', 'nyari', 'uang', 'gak', 'gampang', 'min', 'gimana', 'biar', 'uang', 'min', 'tega', 'release', 'aplikasi', 'minus', 'publik', 'publik', 'gunain', 'aplikasi', 'gak', 'komplain', 'tindak', 'heran']",-0.03333333333333333,negative
"['tolong', 'baik', 'aplikasi', 'isi', 'kaspro', 'gagal', 'uang', 'bank', 'potong', 'gimana', 'sih', 'udah', 'buru2', 'tiket', 'kereta', 'nya', 'cepet', 'habis', 'kaspronya', 'isi', 'masuk2', 'loh', 'nyesel', 'isi', 'kaspro', 'udah', 'aplikasi', 'atur', 'bantu', 'komunikasi', 'call', 'center', 'parah']",-0.1,negative
"['buka', 'kai', 'trs', 'tibatiba', 'pas', 'log', 'out', 'gilir', 'login', 'gabisa', 'failed', 'trs', 'gilir', 'masuk', 'akun', 'pas', 'cari', 'jadwal', 'krl', 'gabisa', 'tulis', 'nya', 'temu', 'stasiun', 'gimana', 'sih']",-0.5,negative
"['update', 'quality', 'turun', 'sata', 'langgan', 'kereta', 'lokal', 'setianh', 'weekend', 'war', 'tiket', 'jam', 'aplikasi', 'trouble', 'jadwal', 'temu', 'menit', 'jadwal', 'muncul', 'tiket', 'duduk', 'habis']",-0.2,negative
"['aplikasi', 'masalah', 'pas', 'upgrade', 'basic', 'isi', 'data', 'otp', 'udah', 'sesuai', 'masuk', 'trus', 'pake', 'websitenya', 'rumit', 'ganggu', 'paksa', 'hapus', 'aplikasi', 'fungsi', 'kereta', 'gak', 'aplikasi', 'masalah', 'serba', 'online', 'minimal', 'aplikasi', 'masalah', 'websitenya', 'rumit']",-0.05,negative
"['aplikasi', 'ribet', 'freandly', 'sulit', 'lihat', 'jadwal', 'kereta', 'access', 'terlebi', 'luncur', 'minus', 'sulit', 'guna']",-0.1,negative
"['kecewa', 'install', 'aplikasi', 'ubah', 'jadwal', 'kereta', 'salah', 'pesan', 'tanggal', 'tlvn', 'call', 'center', 'udh', 'neng', 'loket', 'langsung', 'aplikasi', 'access', 'kai', 'pas', 'data', 'pakai', 'fitur', 'refund', 'ubah', 'tiket', 'gabisa2', 'pas', 'klik', 'konfirm', 'sekali', 'masuk', 'pas', 'pindah', 'otp', 'gmail', 'mental', 'aplikasi', 'fix', 'aplikasi', 'bagus', 'kelas', 'aplikasi', 'bumn', 'haduh', 'btw', 'ram', '8gb', '512gb']",-0.1,negative
"['woiillaahh', 'bsa', 'login', 'password', 'sdh', 'sllu', 'fail', 'nanya', 'respond', 'reschedule', 'susah', 'aplikasi', 'klw', 'aplikasi', 'bsa', 'dipake']",-0.5,negative
